suite,dataset,modelo,ROC_AUC,F1_best,Accuracy,AvgPrecision,best_thr,churn_rate_test
with_recency,DS1_H90_base,GB,1.0,0.9999999995,0.134180790960452,1.0,6.067182706603279e-06,0.134180790960452
with_recency,DS2_H60,RF,1.0,0.9999999995,0.998587570621469,1.0,0.36,0.14689265536723164
with_recency,DS2_H60,GB,1.0,0.9999999995,0.14689265536723164,1.0,6.636073925429768e-06,0.14689265536723164
with_recency,DS3_H120,RF,1.0,0.9999999995,0.998587570621469,1.0,0.4066666666666667,0.12429378531073447
with_recency,DS3_H120,GB,1.0,0.9999999995,0.4435028248587571,1.0,5.633116592131614e-06,0.12429378531073447
with_recency,DS4_no_ship,GB,1.0,0.9999999995,0.134180790960452,1.0,6.067182706603279e-06,0.134180790960452
with_recency,DS5_no_ratios,RF,1.0,0.9999999995,0.998587570621469,1.0,0.25333333333333335,0.134180790960452
with_recency,DS5_no_ratios,GB,1.0,0.9999999995,0.134180790960452,1.0,6.067182706603279e-06,0.134180790960452
with_recency,DS4_no_ship,RF,0.9999828281961021,0.9947643974057728,0.9971751412429378,0.9998903508771929,0.29,0.134180790960452
with_recency,DS1_H90_base,RF,0.99991414098051,0.9947089942090086,0.9971751412429378,0.9994736842105263,0.35,0.134180790960452
with_recency,DS3_H120,LogReg,0.9861070381231672,0.8862275444116319,0.9717514124293786,0.9340979993492835,0.6266557245693886,0.12429378531073447
with_recency,DS4_no_ship,LogReg,0.9860908388426204,0.8433734934863549,0.961864406779661,0.9330101852868633,0.8073223980325125,0.134180790960452
with_recency,DS5_no_ratios,LogReg,0.9860908388426204,0.8383233528028972,0.96045197740113,0.9325474186053595,0.7990376828707507,0.134180790960452
with_recency,DS1_H90_base,LogReg,0.9858160899802524,0.8383233528028972,0.96045197740113,0.9321361833551419,0.8014454383181006,0.134180790960452
with_recency,DS2_H60,LogReg,0.9718543046357615,0.8367346933794252,0.9533898305084746,0.9162276761798301,0.674737695363765,0.14689265536723164
