suite,dataset,modelo,ROC_AUC,F1_best,Accuracy,AvgPrecision,best_thr,churn_rate_test
no_recency,DS3_H120,GB,0.9954912023460412,0.9651162785700378,0.9901129943502824,0.9814728596592589,0.24258755294847037,0.12429378531073447
no_recency,DS3_H120,RF,0.9871059384164224,0.9012345674049689,0.9759887005649718,0.958531211144297,0.5366666666666666,0.12429378531073447
no_recency,DS4_no_ship,GB,0.9811797029277926,0.8804347821092273,0.9675141242937854,0.9429719197734111,0.3207990984525363,0.134180790960452
no_recency,DS1_H90_base,GB,0.9794968661457886,0.8852459011400757,0.9689265536723164,0.9393893009784904,0.4318554959462076,0.134180790960452
no_recency,DS2_H60,GB,0.975085965359144,0.9099999995007999,0.9731638418079096,0.949197536753463,0.422796546884206,0.14689265536723164
no_recency,DS1_H90_base,RF,0.966763973555422,0.8297872335426096,0.9533898305084746,0.8885287612030903,0.42,0.134180790960452
no_recency,DS2_H60,RF,0.9657969307182883,0.8615384610406838,0.96045197740113,0.9156992045100031,0.41333333333333333,0.14689265536723164
no_recency,DS4_no_ship,RF,0.9592598952519962,0.8290155435415716,0.9519774011299436,0.8851106078517792,0.36666666666666664,0.134180790960452
no_recency,DS1_H90_base,LogReg,0.9092126727912767,0.6604651157858301,0.8954802259887006,0.7313082112259823,0.6602324689859231,0.134180790960452
no_recency,DS4_no_ship,LogReg,0.9091955009873788,0.6635514013754475,0.8968926553672316,0.7317464913227089,0.6695147178526688,0.134180790960452
no_recency,DS5_no_ratios,LogReg,0.9089379239289087,0.6635944695538236,0.8954802259887006,0.7318993764132686,0.6663169351023001,0.134180790960452
no_recency,DS5_no_ratios,GB,0.9009702069202369,0.6222222217237653,0.902542372881356,0.7018135573758563,0.37460836301241585,0.134180790960452
no_recency,DS3_H120,LogReg,0.90091642228739,0.6961325961854644,0.9209039548022598,0.7377358620687416,0.7224494857493735,0.12429378531073447
no_recency,DS5_no_ratios,RF,0.900137374431184,0.6484018259927857,0.8898305084745762,0.7083681813213231,0.23,0.134180790960452
no_recency,DS2_H60,LogReg,0.8820364238410595,0.6558704448565948,0.8785310734463276,0.7183994682891905,0.6214316984949447,0.14689265536723164
